id,user,platform,post_type,likes,shares,comments,comment_text
1,Aman,Instagram,Reel,120,30,15,good amazing content
2,Riya,Twitter,Tweet,45,10,5,bad experience poor service
3,Rahul,Facebook,Post,200,50,25,awesome loved it
4,Priya,Instagram,Story,80,20,10,not good waste time
5,Amit,YouTube,Video,500,100,60,excellent content very nice
6,Sneha,Twitter,Tweet,30,5,3,very bad experience
7,Karan,Facebook,Post,150,40,20,amazing and good
8,Neha,YouTube,Video,400,90,55,poor quality bad content
9,Arjun,Instagram,Reel,220,60,30,loved it awesome
10,Meena,Twitter,Tweet,70,15,8,good but slow
11,Rohit,Facebook,Post,180,45,22,excellent and amazing
12,Pooja,Instagram,Reel,140,35,18,good nice post
13,Vikas,Twitter,Tweet,60,12,6,bad service
14,Anjali,YouTube,Video,450,95,50,awesome video loved it
15,Deepak,Facebook,Post,160,38,19,good and amazing
16,Simran,Instagram,Story,90,25,12,waste of time bad
17,Kunal,Twitter,Tweet,55,11,7,poor experience
18,Tina,YouTube,Video,380,85,48,excellent quality
19,Varun,Facebook,Post,210,55,28,loved it good
20,Nikita,Instagram,Reel,170,45,24,amazing content
21,Manish,Twitter,Tweet,65,14,9,not good poor
22,Sakshi,YouTube,Video,520,110,65,awesome and excellent
23,Yash,Facebook,Post,190,48,23,good post
24,Ritu,Instagram,Story,100,28,14,bad content waste
25,Harsh,Twitter,Tweet,75,16,10,good experience
26,Divya,YouTube,Video,430,92,52,amazing video
27,Akash,Facebook,Post,175,42,21,excellent work
28,Payal,Instagram,Reel,160,40,20,loved it good
29,Ramesh,Twitter,Tweet,50,10,5,poor service bad
30,Seema,YouTube,Video,480,105,58,awesome amazing content
